昔比 黄花 笑 易安|今歌 白纻 一生 酸|玉台 朝蕣 何由 写|兀坐 凝思 任墨 干
昔为 京洛 声华 客|今作 江湖 潦倒 翁|意气 销磨 群动 里|形骸 变化 百年 中
诸葛 出师 机 未失|子仪 见虏 信 应坚|老臣 欲借 食 前箸|愿与 君王 策 万全
方割 伤 民瘼|其咨 轸 帝情|古来 尧命 禹|天地 乃 平成
佩杂 銮和 响|云连 雉尾 移|君王 肯 时顾|从爱 赵 昭仪
老逢 熙运 乞 前官|病遇 先生 得 内丹|一饱 有期 吾事 了|千年 不死 后人 看
金兰 臭味 百年 期|生死 那知 歘 两岐|路断 束刍 难寄 恨|封成 挂剑 谩传 悲
出谷 传声 美|迁乔 立志 高|故教 桃 竹映|不使 近 蓬蒿
境界 全清 地位 高|山中 尽日 乐 陶陶|旋劖 白石 开 三径|可是 青山 厌 二豪
桥下 溪声 急|微茫 乱 远钟|半山 云压 寺|深院 雪欹 松
云根 古寺 立 中流|曾是 名贤 旧 此游|剡剡 天人 长 在望|堂堂 庙貌 几 经秋
瓢挂 村梢 风 淅历|鹤巢 松盖 梦 蹉跎|一声 引子 渔家 傲|两两 三三 唱 隔波
一尊 且对 荒城 酒|六月 休牵 上水 船|小此 淹留 待追 诏|公车 归奏 牍 三千
朱曦 气散 松杉 国|白日 寒生 洞壑 天|缥缈 万层 尘 望断|那知 僧定 万松 颠
今日 游 何处|春泉 洗药 归|行吟 紫芝 曲|坐掩 白云 扉
风前 柳态 闲时 少|雨后 花容 淡处 多|都大 人生 有 离别|且将 诗句 代 离歌
昔去 逢秋 至|今来 送九 归|菊残 将入 枕|绵老 渐装 衣
已妨 步月 尘 凝榭|恐误 登高 菊 满篱|且喜 宾筵 得 同道|不为 篇什 欲 何为
宇宙 双 蓬鬓|江湖 几 驿亭|不须 关卒 逻|吾亦 厌 铜腥
诗解 穷人 我未 空|想因 诗尚 不曾 工|熊鱼 自笑 贪心 甚|既要 工诗 又怕 穷
楚酒 淹 浮蚁|吴歌 忆 采菱|捣砧 闻 帝国|佳夕 寝 还兴
天拥 青山 近|风飘 白日 曛|长歌 思 隐士|终老 谢 尘纷
尊俎 三生 话|乾坤 一色 秋|凭虚 聊 纵目|怀古 重 夷犹
琴中 听曲 千重 意|梦里 行云 一片 情|屈指 近时 词赋 客|怜君 独擅 马卿 名
村南 村北 鹁鸪 鸣|小雨 霏霏 又作 晴|拂枕 攲眠 不成 梦|却拖 藤杖 出门 行
未肯 登 云路|惟甘 入 醉乡|乾坤 无所 碍|随处 一 徜徉
一夕 陈桥 大业 成|殿前 点检 本 知兵|帝居 人指 双龙 巷|王气 霄腾 夹马 营
酒后 挥毫 气 未平|盖棺 犹是 鲁 诸生|可怜 江水 东流 急|无复 烟涛 八阵 兵
多难 只成 双鬓 改|流年 更著 暮笳 催|放怀 鱼鸟 平生 事|少住 茅檐 尽此 杯
十分 饥馑 十分 寒|目见 伤心 耳 亦酸|袖手 茅檐 对 残日|此身 犹是 论思 官
解褐 方闻 上 玉除|宠光 转眼 叠 金朱|大夫 不博 乔松 贵|嘉橘 千头 也作 奴
贾谊 谁云 时 不遇|郦生 自谓 我 非狂|横江 一网 空 朝市|何物 充庖 荐 庙廊
六月 都山 雪 未消|胡儿 牧马 傍 山腰|大宁 城阙 花如 锦|何日 看花 醉 碧霄
野寺 荒山 涧水 滨|古藤 翠筱 自 摇春|僧闲 晏坐 无人 到|内保 禅心 一味 真
病里 风光 总 虚掷|岸花 园柳 雨 中休|无端 好客 随 春去|送酒 吟诗 一并 愁
屏除 人我 全 天理|把握 阴阳 合 泰亨|说与 修丹 高士 道|色声 无漏 性 圆明
岁晏 风云 惨|天低 岭海 纡|悲歌 抚 长剑|吾道 敢 怀居
沙上 眠鸳 鸟|雌雄 不异 林|东风 吹 欲醉|渌水 照 同心
昔在 三山 日|曾升 孟母 堂|官寮 同 令子|箴训 出 幽房
故人 惨 相别|归路 几 盘旋|斜月 夜 将半|疏钟 僧 未眠
正有 寻梅 约|今朝 此 见梅|小停 剡溪 棹|更尽 渭城 杯
来暮 不应 歌 叔度|久穷 聊免 哭 唐衢|君当 别我 休辞 醉|我亦 匆匆 恐 问涂
采还 台岭 药|摹入 剡溪 藤|颓落 前朝 寺|相看 慰 发僧
一叶 蒲帆 指 石城|暮云 无际 与天 平|秋生 泽国 难 为客|山到 秦淮 便 有情
公子 留宾 处|园开 锦绣 丛|看葵 思 捧日|凭阁 欲 乘风
付与 春风 不复 言|个中 端有 玉妃 魂|凭君 细说 枭卢 事|暂借 生香 到酒 盆
欲谒 明光 殿|先趋 建礼 门|仙郎 去 得意|亚相 正 承恩
雨涴 壁泥 行 蜥蜴|风吟 窗纸 落 蟏蛸|空斋 惟有 书 千卷|夜夜 青灯 共 寂寥
才名 避地 应 三舍|齿序 先君 漫 十年|却送 归旌 悲 故里|几回 飞梦 郭 东田
西掖 桐阴 静|泸南 荔子 肥|未应 经世 具|便欲 闭 山扉
天巧 宁容 觑|春工 岂待 描|绣将 花作 带|舞衬 柳垂 腰
瘦病 篙师 撑 急滩|雨添 新潦 转愁 难|天公 正布 新 秋令|肯把 南风 送 冷官
且借 馀明 邻壁 凿|敢违 流俗 别蹊 行|高歌 青眼 休相 戏|随分 齑盐 意 已平
邓君 名 谱系|邂逅 软红 间|解组 邮 京阙|题舆 向 峄山
阁道 云中 迥|峰峦 雨外 奇|竹林 深 傍水|花径 细 分岐
曾向 普陀 听 海啸|偶观 廊庙 变 花招|春风 又别 江南 岸|留下 西湖 柳 万条
一县 蒲萄 熟|秋山 苜蓿 多|关云 常带 雨|塞水 不成 河
得酒 虽能 陪 笑语|老年 其实 厌 追随|明朝 雨止 花 应在|又踏 春泥 向 凤池
熟浸 菊英 嫩|轻挼 茱糁 匀|旋沽 深巷 酒|强饮 不成 春
朝朝 风景 添|吾病 亦 开帘|洗药 花前 晒|传方 壁上 粘
平楚 起 寒色|长沙 犹未 还|世情 何处 淡|湘水 向人 闲
听鼓 噇 箪食|逢山 办 把茅|雾窗 闲自 挂|月槛 许谁 敲
底须 逃俗 与 逃喧|拚是 车尘 不到 门|红日 睡残 无 一事|自盘 青竹 护 兰荪
官驿 疏梅 春意 足|楚天 孤鹜 晓烟 沉|闽南 君去 才称 最|慰我 秋鸿 达 好音
篱下 菊 斑斑|犹能 傲 岁寒|春风 谁 主宰|客梦 自 清安
世事 元看 等 一毫|纷纷 宠辱 陋 儿曹|雁行 横野 月 初上|桐叶 满庭 霜 未高
持循 畏简 催 胥吏|整顿 归鞍 戒 仆夫|传语 东风 为 加意|少留 花卉 在 东湖
十里 城南 路|萧然 一 秃翁|旧书 衰 易忘|新句 懒 难工
衲被 蒙头 宿 火红|雪寒 愁听 上方 钟|开门 忽怪 山为 海|万叠 银涛 露 一峰
落日 放船 好|西风 拂面 寒|山光 呈 甸线|潭影 静 鲵桓
东汉 遗民 推管 邴|南期 才子 重阴 何|千秋 未觉 风流 绝|烂熳 怜君 日醉 哦
泥水 何愁 浊|芙蓉 且 种来|藕中 如有 节|花叶 自然 开
潘舆 随 五采|三釜 古今 荣|兰玉 盈阶 砌|追攀 千佛 名
油煎 青顶 蕈|醋煮 紫芽 姜|百味 皆 难及|何须 说 上方
沦落 冲星 剑|逍遥 贯月 槎|醉来 望 牛斗|何处 是 京华
晴窗 彩线 盘 金缕|碧海 灵风 破 玉梅|忽忽 浮生 三十 四|百年 行乐 几 倾杯
吾家 何处 牡丹 园|杨子 冈西 古 宋原|忽有 芳菲 妍 岸阁|岂期 车马 驻 江村
参旗 井钺 出 西秦|纠合 诸侯 付 老臣|风引 旆旌 趋 魏阙|雪晴 宇宙 灭 天尘
斩馘 曾 无几|铺张 尽足 豪|锋车 凭 奏捷|墨敕 许 酬劳
谯鼓 声 初动|清光 已 满天|遥怜 千里 共|尚欠 一分 圆
饮沼 山禽 渴|沾泥 雨果 残|二年 薇 与蕨|实厌 野人 餐
鲑菜 馌 耕者|鸡豚 赛 社公|不闻 车 轧轧|但见 鼓 冬冬
日月 升时 先 奋翼|风云 浓处 忽 抽身|苍苍 忍夺 客星 去|却使 凌烟 忆 老臣
寒柳 接胡 桑|军门 向 大荒|幕营 随 月魄|兵气 长 星芒
寒窗 寂寞 度 残冬|接得 春来 雨又 风|芳思 悠悠 空自 远|清游 款款 与谁 同
久晴 苗 欲雨|多病 药 如饴|忆自 分携 后|知心 更有 谁
岩转 应 藏寺|潭深 或 卧龙|会携 青 竹杖|高步 翠微 中
茂陵 哀诏 宠光 并|少保 祠宫 仰 盛明|折简 尚闻 胡骑 窜|断垣 俄见 野蒿 盈
辽海 鹤归 春梦 远|椘山 猿断 暮云 深|昨来 游子 闻 哀讣|泣对 斜阳 戻 湿襟
不记 西亭 醉 别时|别来 佳句 愈 瑰奇|心随 云影 沈 天角|梦逐 滩声 到 海湄
百衲 禅 中弊|苍髭 病 后生|何人 问 真理|笑指 葛 溪声
体倦 知 茵薄|寒侵 觉岁 高|功名 两 蜗角|人物 九 牛毛
青萝 太史 赤城 仙|祠墓 东西 近接 连|江汉 炳灵 迁谪 地|乾坤 正气 革除 年
冷艳 影图 容易 就|娇痴 心性 最难 描|为怜 笑语 人 长别|翻怕 丹青 粉 渐消
门封 夜雪 深 三尺|人坐 春风 暖 几时|愿得 诘朝 逢 滞雨|先生 行李 更 迟迟
新昌 小院 松 当户|履道 幽居 竹 绕池|莫道 两都 空有 宅|林泉 风月 是家 资
小园 梅萼 可 重簪|抚札 遥思 处士 林|明月 悠悠 千里 意|新春 浩浩 百年 心
静闭 街 西观|存思 海 上仙|闲听 说 五岳|穷遍 一根 莲
八尺 方床 织 白藤|含风 漪里 睡 瞢腾|若无 万里 还家 梦|便是 三湘 退院 僧
白云 到处 有 光辉|江北 江南 一杖 携|妙喜 风烟 曾 断取|羊仙 今日 合 全提
一台 二妙 日 追游|琥珀 香醪 白玉 瓯|相下 不厌 贤者 意|尚言 执友 欠 龙头
有酒 聊供 醉|栽花 不用 多|笑人 闲 计较|长为 子孙 魔
楼台 逼 霄汉|窗户 纳 云霓|回顾 千岩 路|如登 万仞 梯
香火 犹 强健|笙歌 足 燕休|如何 早 仙去|寒日 惨 山丘
雁阵 何时 起|危楼 倚 暮寒|欲书 青玉 案|遥寄 紫罗 兰
府后 岩峦 众|何时 访古 仙|井甘 邻 室共|钟远 雪 风传
天山 乳凤 飞来 小|南渡 衣冠 又 六朝|劫火 自焚 杨琏 塔|箭锋 犹抵 伍胥 潮
曲栈 钩 崖角|垂虹 挂 岭腰|山家 酒 初熟|或事 借 椰瓢
樽酒 邮亭 暮|云帆 驿使 归|野鸥 寒 不起|川雨 冻 难飞
两月 近思 真定 本|千年 大事 未终 裁|白云 回首 山中 寺|寒日 荒荒 径 满苔
天低 压 梦破|溪渴 咒 泉来|蜗角 山河 剩|当欢 且莫 哀
君亭 摇 鹭羽|我树 下 鹂黄|政尔 无何 境|能来 底处 乡
地有 粟泥 堪当 饭|山无 松木 独宜 杉|半天 图画 风尘 外|我有 新题 居士 衔
投辖 情偏 洽|开尊 语更 真|君今 五马 贵|我已 二毛 新
空水 浮烟 欲上 蒸|遥瞻 罛舶 点 飞蝇|家山 处处 云 相似|帆影 千层 涛 万层
荔枝 江上 立|望北 几 思量|隔海 无 书札|前年 在 汉阳
灞桥 风雪 寻诗 处|何似 携清 啖果 时|说与 小僮 浑 未识|徐徐 分付 与 斜晖
相国 平泉 水竹 居|吴山 花石 世间 无|游人 马上 休 回首|一半 春风 在 里湖
不踏 南湖 路|端居 两见 春|浮花 空 过眼|浊酒 漫 濡唇
归雁 行边 待 乡信|啼鹃 声里 抚 刀环|长安 岂合 居 吾辈|往复 怀中 是 小山
万象 空烟 合|孤霞 夕丽 流|繇来 多 晚兴|此际 倍 悠悠
求田 问舍 向吴 津|欲著 衰残 老病 身|未拜 君恩 赐 剡曲|归来 且醉 鉴湖 春
一剑 已 飞去|千年 池 尚存|浮图 入 云表|古寺 倚 山根
京尹 俄 遭难|都人 亦 助哀|琅琅 垂绝 语|烈妇 信 高哉
紫宸 朝罢 见 除书|旧友 新乘 五马 车|沧海 月明 天 荡荡|关山 春到 雨 徐徐
离乡 去井 景 凄凉|鹭岛 侨居 暗自 伤|亲近 九旬 亏 子职|家无 一物 贮 奚囊
万里 欲飞 愁 若絮|小炉 危坐 眼 生花|筋骸 养作 衡山 力|坐拥 肩舆 听 噪哗
病愤 无凭 写|翻然 试 一来|谁知 丘壑 性|畴昔 斗牛 回
谬忝 铨衡 愧此 官|白头 归老 息肩 难|思亲 惟有 衰年 苦|独寝 无如 旅夜 寒
锦袭 玄圭 莹|龙香 秘阁 浮|渍毫 春黛 湿|拂楮 翠云 流
羞日 遮 罗袖|愁春 懒起 妆|易求 无价 宝|难得 有心 郎
西冈 无奈 景纯 何|陶写 新诗 日 渐多|宜似 兰苕 飞 翡翠|每嗟 荆棘 长 铜驼
酒到 难成 醉|风来 易得 凉|老年 何所 欲|唯愿 且 平康
凭将 假像 博 真情|八面 玲珑 百态 生|知否 入云 千仞 外|巍然 泰岳 势 峥嵘
立马 遥看 澹 复浓|青天 半插 玉 芙蓉|来时 烟雨 归 晴暖|尽出 东南 几百 峰
乐哉 东海 老|天与 以 遐龄|前一 辈 人物|为诸 生 典型
缘随 一念 了|诗到 几乡 传|孤塔 寒花 外|莺声 愁 暝烟
归路 关前 梦|残更 榜上 年|半生 兄弟 念|多负 看山 眠
镇静 实堪 心膂 寄|老成 尤见 性情 纯|天家 濊泽 无私 厚|勤恪 应沾 雨露 频
一枕 方床 两月 眠|旅怀 如醉 日 如年|苍头 更有 何人 问|茶灶 清风 袅 翠烟
午位 符 炎德|真人 感 赤精|诞弥 佳节 近|四海 祝 长生
平吴 献策 了无 遗|馈药 人无 酖毒 疑|最是 感人 仁德 厚|当时 堕泪 有 遗碑
乌声 今夜 乐|知是 虏 空营|急度 临河 马|先收 蓟北 城
山事 繇来 别|只应 中 老身|寒园 扫 绽栗|秋浪 拾 干薪
翩翩 穴凤 正 高梧|烟水 那堪 恋 五湖|历国 霜蹄 空 冀北|发硎 新锷 出 昆吾
同备 三千 数|谁辞 第一 人|君王 寿 万岁|行乐 此时 均
夜宿 桄榔 雨|朝行 踯躅 春|知君 清节 苦|莫厌 庾郎 贫
小雨 初 凉夜|残灯 欲暗 时|病多 愁 近酒|心弱 怯 题诗
此事 须 丘壑|何人 嗣 典型|但当 添 种竹|相对 北山 青
天孙 夜度 玉潢 清|内托 银盘 涌 化生|秋思 未多 团扇 在|拟题 宫怨 月 分明
初讶 流星 乱|俄看 制 电明|层峦 从此 瘦|春草 几时 生
自古 山川 难 恃险|从来 花鸟 易 伤情|南朝 过眼 繁华 尽|倚杖 长干 看 月明
幨帷 车乘 春 同到|灯火 城门 夜 未关|我亦 林泉 曾 俯仰|只今 双屦 又 尘寰
秦俗 讴谣 口|雍州 形势 豪|凭君 怀古 意|一一 寄 风骚
行路 皆 惆怅|闻风 悉 叹嗟|英灵 觐 宗祖|犹想 佑 皇家
钱家 书橐 盛 儒林|禹穴 时容 探 万寻|嗜好 自同 皇甫 癖|写传 应慰 献王 心
法则 定 乾坤|千秋 与万 春|金乌 飞 绛阙|玉兔 弄 精神
回翔 本 无意|屈曲 尚 多情|鸟迹 留仙 谶|谁人 识 姓名
一人 自掘 自 沉吟|畦畎 如弦 地似 琴|锄落 玉霄 生 妙韵|声回 崖壁 荡 清音
岱崧 王屋 旧 经过|自倚 胸中 胜概 多|独欠 太行 高绝 处|青天 白日 看 山河
辞条 尚作 莺莺 舞|落絮 还同 燕燕 飞|争似 绛桃 园里 色|留花 不发 待 郎归
陶上 居何 蚤|芳名 与 愿违|象筹 时 入市|卷帙 向 斜扉
似送 西山 供 案入|欲驱 南海 那 云多|最怜 半踏 芳洲 舫|衣袂 翻然 接 绛河
寂寂 岩扉 不扫 苔|高人 何事 出山 来|玉蛆 香泛 林头 酒|辜负 黄花 九日 开
西掖 持 醇酒|东山 就 白云|开轩 绿池 映|命席 紫兰 芬
骏驶 元 奇崛|驯良 蔑 等伦|穷途 曾 尽力|徒步 始 伤神
村头 明月 梦中 箫|千载 湖山 今 寂寥|石板 街深 烟树 冷|不堪 风物 忆 前朝
之子 复 何事|泾阳 方 灌园|三峰 开 瓠口|二水 出 寒门
画船 珠海 动|铙吹 满 离声|百粤 壶浆 泪|三军 乳哺 情
不与 皇家 致 太平|康宁 时节 便 遗荣|寰中 自乐 乔 彭寿|海内 空流 邴 魏声
南亩 犹勤 馌|东郊 尚 晚春|如何 蚕 未老|不见 采桑 人
嵌空 寻尺 立 池津|池北 池南 孰可 邻|草树 自羞 还 自笑|凋荣 一节 任 天真
雨砌 虫 无语|风林 叶 有声|宵凉 还自 怯|旦旦 盼 新晴
内朝 倦 临御|中禁 罢 晨昏|后德 千龄 茂|母仪 三纪 存
无心 避患 衔 芦荻|肯恋 馀生 逐 稻粱|闻道 边庭 尚 征戍|孤鸣 幸勿 到 辽阳
谈天 虽 有口|无地 可 安身|美杀 清江 鹭|生来 不受 尘
野迥 望云 孤|风尘 暗 海隅|乡心 悬 落日|旅食 倦 长途
水平 民不 溺|谷播 世无 饥|气数 如 寒暑|能无 理 转移
鸟雀 荒原 下|莓苔 断堞 侵|凋伤 惜 元气|搔首 感 难禁
北海 潮 初上|渔歌 下 夕阳|远风 吹 渐近|短曲 听 来长
杯盘 今日 偶 相逢|客路 飘飘 过 一冬|为问 玉堂 春 帖子|不知 学士 有谁 供
桥上 所 经过|秋成 正 乐郊|儿童 惊 衮绣|丞相 只 衡茅
欲入 凤城 游|西溪 别 惠休|色随 花 旋落|年共 水 争流
精庐 千古 迹|乐石 两公 题|造物 生贤 意|宁图 到 广西
六月 南风 欲 送君|临歧 人语 那堪 闻|扁舟 明日 千 馀里|回首 中山 只 白云
脉脉 临江 浒|朝朝 见 逝川|懒腰 三篾 束|慧命 一丝 悬
愧我 诗书 空 盗窃|喜君 学易 有 功程|相逢 亦似 非人 力|十载 昏花 一日 明
出城 烟火 少|况复 是 今朝|闲坐 将谁 语|临觞 只自 谣
回船 赴 危石|急棹 下 澄潭|岭火 连 秋霁|云帆 半 夕岚
题笔 未能 行客 醉|典琴 不用 主人 贫|隔江 谁掉 高名 丽|满载 鸬鹚 捉 锦鳞
家传 笔法 学 光尧|圣草 真行 说 两朝|天纵 自然 成 一体|谩夸 虎步 与 龙跳
忆将 亲爱 别|行为 主恩 酬|感激 空 如此|芳时 屡 已遒
半醉 天 难问|多材 陆 岂沉|迢迢 独行 者|珍重 吕 粱心
已惊 别鹤 江天 远|何事 骑鲸 岁月 侵|五桂 联芳 知有 日|去寻 萧侣 碧 云深
瓶添 新 涧绿|笠卸 晚 峰阴|八字 如 相许|终辞 尺组 寻
诙谐 与世 聊 从俗|啸傲 他年 可 乞灵|更为 旁人 住 俄顷|坐间 愁杀 两 螟蛉
辞国 几经 岁|望乡 空见 山|不知 江 叶下|又作 布衣 还
帷幄 言 犹在|山林 迹已 迁|登庸 疑 早贵|福艾 欠 长年
不上 酒家 楼|池边 日 献酬|杯来 转 巴字|客坐 绕 方流
听经 野鹿 频 窥户|宴坐 山僧 不 出龛|客欲 逃禅 无可 醉|远公 于酒 禁方 严
海滨 荒浅 幼 无师|前哲 藩篱 尚未 窥|玄咏 易流 西 晋学|苦吟 不脱 晚 唐诗
堂样 球场 五百 弓|帝城 何地 似 亭中|北山 南畔 南山 北|独受 西湖 万顷 风
云连 千嶂 暝|风送 一帆 轻|不尽 江门 水|难销 此 别情
雨入 秋空 细 复轻|松梢 积得 太 多生|忽然 落点 拳 来大|偏作 行人 滴 伞声
敛暝 关 云黑|衔规 苑 日红|凋年 霜霰 恶|慎勿 损 荆丛
闻道 通 轺传|何当 拜 寝园|荒寒 岁将 晚|愁绝 更堪 言
朔气 三河 冷|边风 九月 秋|国仇 吾欲 雪|非为 觅 封侯
咫尺 愁 溪尽|萦回 觉路 疑|小舟 尖 似履|细缆 密 如丝
化理 资 调燮|吁谟 属 老成|公忠 勤 体国|力为 赞 升平
黄金 范蠡 曾 辞禄|白首 虞翻 未 信方|千古 浮云 共 归意|晓风 城郭 水 花香
细雨 寒江 此 送君|相思 时复 到 河汾|凭君 传语 阳明 子|我正 扶衰 候 岭云
寓意 樽中 渌|陶然 得 此生|孔融 真 好客|阮籍 自 忘形
九州 人共 仰|千载 鹤来 还|遥见 樵苏 者|披云 度 石关
上上 仄 岩颠|清溪 落马 前|陂陀 聊作 馆|硗确 以为 田
失马 君 何患|临河 我 独伤|从今 千里 梦|夜夜 到 江乡
年少 才多 好 丈夫|朝回 新拜 执 金吾|南过 铜柱 元 标汉|西出 榆关 更 射胡
津亭 时 解缆|候吏 已 先驱|到处 逢迎 满|经过 礼数 殊
雾雨 初 相乱|波涛 忽 自由|道场 从建 后|龙去 任人 游
景色 方 妍媚|寻真 出 近郊|宝香 炉上 爇|金磬 佛前 敲
絮棉 吹入 化 春衣|渡海 山藷 足 疗饥|一任 转输 无 内外|物情 先见 大 同时
要识 梁州 远|南山 在 眼边|霜郊 熊 扑树|雪路 马 蒙毡
少不 如人 老 可惊|百千 功业 几 能成|含愁 谩掩 窗前 镜|新见 吟髭 白 一茎
成家 尽是 经纶 后|得句 应多 谏诤 馀|见说 养真 求退 静|溪南 泉石 许 同居
我亦 穷耽 此|君仍 老嗜 兹|虽然 不相 弃|竟尔 欲 奚为
蓬松 袒跣 倒 骑牛|折得 山花 便 满头|强使 倡歌 浑 不听|听它 天籁 自鸣 休
如何 杀 一妇|能致 旱 三年|妇孝 无知 者|知之 惟 老天
明月 三 江水|扁舟 一 钓蓑|凄其 怜 大被|夜夜 泪痕 多
无复 颠狂 似 少时|逢君 犹自 说 蛾眉|玉堂 旧事 君休 念|两袖 啼痕 又送 谁
湖山 堂下 水声 寒|夜半 琮琤 响 佩环|梦寐 欲归 归 未得|却来 此处 听 潺潺
鹦鹉 殊姿 致|鸾皇 得 比肩|常寻 金殿 里|每话 玉阶 前
云箔 霞绡 卷 太清|仙宫 环佩 正 盈盈|新裁 团扇 呈 歌态|又蹙 蛾眉 怨 薄情
新秋 初变 一天 清|急雨 仍添 万木 声|山势 不根 空外 起|湖光 无际 槩来 平
物化 同 枯木|希夷 明月 珠|本来 生 灭尽|何者 是 虚无
诗翁 思苦 饶 先醉|画史 愁多 恐 失真|寄语 东风 为 披拂|莫教 容易 惹 芳尘
白头 归 故里|荒草 没 柴门|乡旧 仍 相见|儿童 且 不存
茸茸 随处 长|楚楚 为谁 荣|叶嫩 禽 争啄|根周 蚓 未鸣
牧马 深山 白草 中|不闻 鼙鼓 动 西风|老兵 闲坐 斜阳 里|尽说 今秋 魏绛 功
征袍 剑立 严师 律|舞袖 弓弯 有妓 围|顷刻 连营 俱 解甲|室中 宁复 叹 蛜蝛
萸杯 引满 宴 公堂|病客 偏容 泛浅 觞|为爱 菊花 惊 晚节|不羞 蓬鬓 插 秋香
乌舍 凌波 肌 似雪|亲持 红叶 索 题诗|还卿 一钵 无情 泪|恨不 相逢 未剃 时
远载 山泉 千里 外|胜流 高致 使人 思|罂瓶 泻口 冲 寒色|垒块 浇胸 洗 恶诗
